"","userName","numberOfRepositories","numberOfFollowers"
"1918","kbzon",0,1
"1919","djv",78,22
"1920","matwassim",6,5
"1921","mushtaq",97,81
"1922","stew",129,58
"1923","hammer",692,131
"1924","grandbora",58,68
"1925","arthurnn",991,184
"1926","okomok",58,18
"1927","ak3n",32,22
"1928","pcalcado",661,36
"1929","budedub",5,1
"1930","charlenopires",305,55
"1931","yaroslav-ulanovych",5,20
"1932","sirinath",138,123
"1933","Blaisorblade",79,176
"1934","oscarvarto",19,53
"1935","unixarcade",69,7
"1936","DarkDimius",195,40
"1937","elektronaut0815",6,5
"1938","nerdsRob",33,44
"1939","tototoshi",176,178
"1940","regisfoucault",29,23
"1941","sheganinans",58,53
"1942","codemanki",32,23
"1943","KhairulBashar",3,0
"1944","prettynatty",112,116
"1945","samstarling",82,55
"1946","skisel",8,25
"1947","sonenko",32,16
"1948","elephantsy",20,8
"1949","fwbrasil",218,37
"1950","markazz",23,11
"1951","yilazius",6,12
"1952","VladUreche",112,46
"1953","diguage",207,256
"1954","wmorin",29,21
"1955","seawise",15,7
"1956","vstostap",10,17
"1957","HairyFotr",76,87
"1958","milessabin",733,71
"1959","rugby110",32,369
"1960","hitamu",12,12
"1961","Krasnyanskiy",24,268
"1962","jorgegalindocruces",58,9
"1963","stewSquared",45,31
"1964","florinbroasca",69,0
"1965","hepin1989",346,93
"1966","kailuowang",123,121
"1967","Supryhan",9,15
"1968","benhutchison",38,96
"1969","waterlink",135,254
"1970","android10",4816,41
"1971","arbeiter",9,21
"1972","rus-speaking",8,1
"1973","garriguv",65,32
"1974","Feodorov",4,24
"1975","ulasakdeniz",33,9
"1976","raulraja",287,44
"1977","linpingchuan",16,892
"1978","shiv4nsh",80,103
"1979","mfirry",48,27
"1980","maiorovi",6,113
"1981","malzzz",21,21
"1982","offbored",0,6
"1983","xjrk58",8,1
"1984","alexdeleon",20,44
"1985","zhan-ge",22,16
"1986","ddfreyne",195,93
"1987","andrewmed",1,8
"1988","izhamoidsin",1,3
"1989","ilya-murzinov",18,61
"1990","ximet",16,210
"1991","gingerkirsch",19,27
"1992","bobo6891",67,6
"1993","foocraft",17,11
"1994","thickniner",0,3
"1995","kfalconspb",602,8
"1996","jrgonzalezg",37,26
"1997","shnapz",2,15
"1998","aoiroaoino",54,88
"1999","geraldo-netto",134,18
"2000","erasmas",33,23
"2001","AlexJHayward",1,8
"2002","fthomas",117,114
"2003","atapin",9,58
"2004","aywengo",9,40
"2005","PrimoBober",0,0
"2006","KhanyileBN",1,24
"2007","heyrutvik",3,38
"2008","Andrea",122,143
"2009","brianherman",10,97
"2010","osama-afifi",40,53
"2011","svanlaug",12,8
"2012","d3v3lop3rtuta",0,0
"2013","ThatKidFlo",5,65
"2014","meszka",4,16
"2015","dcn01",21,543
"2016","wang7x",13,2
"2017","AL564",0,1
"2018","xieyangxuejun",7,52
"2019","NikolayKhoroshevsky",2,22
"2020","AlexiaChen",63,16
"2021","ctcirillo",3,0
"2022","CPA90",1,1
"2023","andylogikk",0,0
"2024","asilmc",1,0
"2025","8bitreid",9,22
"2026","rmsa",7,0
"2027","joyoyoyoyoyo",62,79
"2028","octaplexsys",1,130
"2029","mwakeelable",0,20
"2030","vitorsvieira",55,37
"2031","kiopro",48,88
"2032","Skeptycal",6,1217
"2033","Adalbertopinto",3,0
"2034","mukeshtiwari",49,93
"2035","psbrandt",113,86
"2036","sent1nel",43,59
"2037","qa1",80,117
"2038","ido",120,28
"2039","mselender",27,19
"2040","davoclavo",142,67
"2041","malachaifrazier",73,310
"2042","SharkIng",27,41
"2043","doubaokun",105,487
"2044","ostrichmyself",8,3
"2045","elf-pavlik",320,213
"2046","jason1114",9,51
"2047","newset",21,191
"2048","haohcraft",39,67
"2049","omni360",123,492
"2050","jhhb",5,28
"2051","krystalvinson1",0,0
"2052","parisDreyer",8,48
"2053","lukepenca",3,0
"2054","gunlee01",160,37
"2055","apauley",39,43
"2056","berlotti",76,5
"2057","TheunisKotze",21,19
"2058","andrewseddon",53,5
"2059","W1M0R",8,4
"2060","jusko",1,5
"2061","speedygonzalez",90,1
"2062","smoothboy",0,4
"2063","johanvanzijl",8,15
"2064","twelvechairs",2,1
"2065","cakewalker",1,0
"2066","kg4lod",15,16
"2067","timjb",133,118
"2068","dirkcuys",34,60
"2069","avanwyk",4,7
"2070","pkamenarsky",34,87
"2071","errordeveloper",335,239
"2072","kvey",44,89
"2073","rodrigohenrik",8,0
"2074","sprodhan01",2,4
"2075","canercandan",72,101
"2076","karun012",11,38
"2077","dmjio",220,300
"2078","vwwv",7,21
"2079","vinodhrajamuralidharan",3,30
"2080","justinmanley",56,63
"2081","andre-artus",5,124
"2082","webdada",3,13
"2083","kasbah",109,147
"2084","fujimura",127,131
"2085","dweinstein",374,263
"2086","tbergman",20,166
"2087","tebello-thejane",18,20
"2088","RecursiveRobot",3,9
"2089","bbrangeo",13,106
"2090","sindikat",9,29
"2091","aahoo",5,25
"2092","overture8",75,82
"2093","Whoaa512",66,174
"2094","mac10688",11,21
"2095","LeoYohg",6,5
"2096","alexbiehl",70,105
"2097","sup4r",6,53
"2098","njardus",1,10
"2099","calfboy",6,0
"2100","manuzy",0,1
"2101","songsenzhang",3,3
"2102","GitFatima",0,0
"2103","vpanchal",4,7
"2104","kumavis",758,342
"2105","ocramz",120,248
"2106","cies",48,77
"2107","imalsogreg",89,200
"2108","silky",332,2936
"2109","jamesyoung",107,14
"2110","Nenlantea",5,7
"2111","ericdaniel",5,6
"2112","NicolasDP",25,58
"2113","Programming76",227,9
"2114","the-gingerbread-man",14,18
"2115","camilojjj",0,2
"2116","kennethkalmer",151,108
"2117","jb55",191,423
"2118","gregnwosu",19,135
"2119","GeoBIMpro",4,630
"2120","ilmsg",76,234
"2121","vaibhavsagar",192,22
"2122","kakus5",32,4
"2123","cj4c0b1",1,1
"2124","eliooses",57,108
"2125","twopoint718",50,95
"2126","albertotono",21,11
"2127","freuk",42,60
"2128","hendrikswan",320,92
"2129","DESIGNERSWITHOUTBORDERS",4,2
"2130","iNDicat0r",11,4
"2131","GarryDobson",0,0
"2132","tadriance",8,4
"2133","atedesco",0,1
"2134","chrisx",6,5
"2135","mbaumbach",8,3
"2136","JoeConyers",28,5
"2137","mattupstate",480,86
"2138","DavidYKay",87,185
"2139","davidgrieser",13,21
"2140","ScotterC",111,92
"2141","nickyleach",26,12
"2142","aplusbi",17,17
"2143","ovonhauske",0,2
"2144","rodxavier",19,27
"2145","jcarrig",7,10
"2146","TomHoss",19,18
"2147","sanctusgee",1,36
"2148","ismaild",37,56
"2149","Gerst20051",103,83
"2150","ishideo",23,3
"2151","oburt",9,7
"2152","staurostr",3,2
"2153","tombenner",250,50
"2154","gabstehr",27,26
"2155","ascott",70,37
"2156","jfranz",9,15
"2157","OpenPros",36,1
"2158","scalp42",108,618
"2159","saturnial",29,10
"2160","markcu",5,0
"2161","jres",5,0
"2162","warpling",117,54
"2163","bgxcpku",3,52
"2164","KatherineMichel",141,52
"2165","samrawstorne",46,9
"2166","rabialam",18,22
"2167","reissbaker",37,31
"2168","simalexan",126,60
"2169","tyke",23,19
"2170","entrepreneurj",15,44
"2171","CarryDream",33,85
"2172","sleepdefic1t",36,53
"2173","kyrlia",11,0
"2174","digideskio",126,18675
"2175","tanvirstreet",13,29
"2176","ranman",512,141
"2177","kiminh",27,18
"2178","akash418",0,6
"2179","Hangjun",9,58
"2180","danillolima",17,18
"2181","chw946",4,2
"2182","esckaraca",22,4
"2183","zuhairiBIT",2,7
"2184","MilkZoft",287,72
"2185","KamranMackey",70,6
"2186","emirpalm",0,13
"2187","darwin",623,115
"2188","cbertelegni",27,49
"2189","pabloq32",0,1
"2190","iafar86",0,14
"2191","hellyeah",261,93
"2192","apnadmin",31,3
"2193","LarryCorbin",12,18
"2194","twopack",28,9
"2195","raindolf",84,36
"2196","radiofrequency",42,90
"2197","anuruddhmishra",19,6
"2198","kytwb",156,11
"2199","itsJarrett",34,28
"2200","macressler",212,947
"2201","phpenterprise",525,2
"2202","becky7",12,1
"2203","ahmetabdi",491,135
"2204","codibits",128,1
"2205","csofttech1",8,0
"2206","mattheworiordan",90,62
"2207","youchihara",3,2
"2208","henzeeme",9,1
"2209","philshaweny",25,0
"2210","emaraschio",76,51
"2211","mariodev12",689,46
"2212","securityofficers",3,1
"2213","Charlie-TalentBase",24,0
"2214","Zleub",20,79
"2215","theidioms",24,1
"2216","mhnpd",106,29
"2217","soyjhonavila",49,5
"2218","Damirusxml",0,0
"2219","zeiban",1,15
"2220","cj",37,231
"2221","ctrochalakis",72,60
"2222","stephenhandley",40,53
"2223","dshaw",839,182
"2224","indexzero",1915,149
"2225","slaskis",42,80
"2226","joshbuddy",460,192
"2227","tomas",336,78
"2228","substack",12652,935
"2229","PanosJee",51,20
"2230","mape",193,16
"2231","jbueza",132,32
"2232","killfill",36,44
"2233","jbaudanza",60,47
"2234","comster",39,54
"2235","talltyler",64,41
"2236","tmpvar",819,358
"2237","yeco",47,100
"2238","bpedro",135,32
"2239","matagus",214,42
"2240","logicalparadox",190,53
"2241","jaygooby",28,54
"2242","ptzagk",57,1163
"2243","joeyrobert",68,27
"2244","rumpl",63,68
"2245","linus",96,22
"2246","mashpie",47,9
"2247","kadirpekel",154,21
"2248","psema4",92,126
"2249","hxoht",1229,129
"2250","dvbportal",72,44
"2251","rjrodger",443,147
"2252","olegp",170,39
"2253","dodo",174,123
"2254","dan2k3k4",46,19
"2255","charyorde",27,96
"2256","tsevdos",95,21
"2257","rook2pawn",47,103
"2258","chchrist",23,38
"2259","chapel",109,63
"2260","shinout",162,91
"2261","cretz",127,96
"2262","ptigas",131,34
"2263","mpolakis",24,26
"2264","MarkReeder",52,24
"2265","ammmir",66,45
"2266","lampr",9,21
"2267","insin",604,131
"2268","jeromeetienne",1792,282
"2269","felipefontoura",82,9
"2270","tblobaum",152,27
"2271","svagionitis",20,323
"2272","richmarr",59,45
"2273","raoulmillais",60,87
"2274","franzenzenhofer",118,83
"2275","jgautier",105,30
"2276","vesln",247,119
"2277","chstath",16,14
"2278","tanepiper",220,108
"2279","ecto",145,112
"2280","OvenAut",3,15
"2281","dshimkoski",19,21
"2282","pose",149,111
"2283","dezmozz",25,9
"2284","lightyoruichi",21,116
"2285","balaf",16,11
"2286","andrewjstone",98,61
"2287","JerrySievert",146,140
"2288","jcolebrand",33,24
"2289","jslatts",75,29
"2290","rabidmachine9",8,12
"2291","gadlol",18,20
"2292","tmaximini",44,100
"2293","basdirks",27,3
"2294","tellnes",109,156
"2295","wscherphof",58,55
"2296","mmalecki",507,335
"2297","nikolasd",17,8
"2298","taariq",65,45
"2299","mrmarbles",23,11
"2300","github4bhavin",3,34
"2301","githubparty",36,0
"2302","alFReD-NSH",54,101
"2303","dtravlos",13,1
"2304","Konstantinos-Mavridis",15,8
"2305","adaxem",3,0
"2306","fadrizul",47,40
"2307","goa",3,10
"2308","ejfrme",22,5
"2309","julionc",72,27
"2310","Validatorian",6,0
"2311","shunowada",0,0
"2312","tonyka",2,0
"2313","Takuo-IMBE",1,1
"2314","xk",92,51
"2315","stream7",45,38
"2316","robby",94,99
"2317","ultim8k",45,31
"2318","chetandhembre",28,98
"2319","yields",346,170
"2320","pmh",17,12
"2321","loveshell",419,413
"2322","kelonye",193,173
"2323","yueyoum",422,109
"2324","sinopower",30,40
"2325","quanqinle",20,28
"2326","jazeltq",3,21
"2327","barolot",0,3
"2328","yukoga",12,77
"2329","timoxley",1067,545
"2330","eldargab",29,94
"2331","idobatter",50,201
"2332","rauchg",6908,110
"2333","dmcrodrigues",74,29
"2334","surjikal",91,57
"2335","krunalg",11,49
"2336","TooTallNate",2777,312
"2337","coverslide",14,97
"2338","hughsk",1179,487
"2339","MyHatIsAwesome",5,2
"2340","fsoudiere",28,3
"2341","jwerle",292,169
"2342","littlehaker",86,51
"2343","ianstormtaylor",1558,184
"2344","iskedk",39,21
"2345","jbilcke",112,20
"2346","codekozak87",15,9
"2347","sergioramos",121,121
"2348","marinamiranda",7,13
"2349","Battleroid",85,86
"2350","enricomarino",66,101
"2351","alekseykulikov",101,20
"2352","jcrugzz",218,182
"2353","alessioalex",199,197
"2354","lvivier",52,48
"2355","bcherny",276,235
"2356","trevorgerhardt",56,44
"2357","queckezz",72,110
"2358","buzzedword",45,124
"2359","lancejpollard",363,25
"2360","liulotus",0,2
"2361","damienlsq",5,0
"2362","Argun",6,15
"2363","matthewmueller",1124,485
"2364","anthonyshort",478,121
"2365","brianshumate",144,82
"2366","fjsantosb",18,4
"2367","huanchuanjian",20,30
"2368","calvinfo",304,83
"2369","mikolalysenko",1773,512
"2370","kessler",128,180
"2371","guybrush",56,94
"2372","clehner",192,249
"2373","lexx27",19,22
"2374","matthewspencer",55,38
"2375","dazld",65,159
"2376","dunckr",41,77
"2377","hmert",1036,33
"2378","koalahamlet",44,59
"2379","chromakode",509,106
"2380","dominicbarnes",102,205
"2381","geobourazanas",12,9
"2382","alireza-m",20,3
"2383","khoin",33,27
"2384","cheery",55,89
"2385","therewasaguy",346,208
"2386","jessetane",67,152
"2387","jmike",28,23
"2388","yeungy",7,4
"2389","tempcyc",9,16
"2390","Qard",184,188
"2391","gentooist",21,47
"2392","bramcordie",4,8
"2393","acroyear2",6,42
"2394","ZZKer",1,7
"2395","vishalbelsare",67,2025
"2396","imccunn",37,64
"2397","miguelmota",354,410
"2398","vectorsize",67,29
"2399","zmughal",344,232
"2400","73rhodes",67,17
"2401","dwilliams999123",3,0
"2402","Staudi",3,9
"2403","GregoryCollett",23,108
"2404","felipap",39,38
"2405","tmluck",2,1
"2406","nliapis",22,25
"2407","shancci",9,24
"2408","ysilyutin",16,17
"2409","jonathanong",1595,67
"2410","darineraka",9,173
"2411","wintermuted",18,31
"2412","kristinpeterson",21,31
"2413","Jimimimi",13,36
"2414","jolosantos",21,0
"2415","SamuSan",13,48
"2416","cshum",112,48
"2417","willemdh",94,19
"2418","JacopKane",57,79
"2419","reckhhh",10,5
"2420","elton0895",8,41
"2421","mmashima",0,1
"2422","vegarturo",6,7
"2423","etopian",122,112
"2424","doufufu",10,7
"2425","Lozoe",7,64
"2426","tornqvist",46,52
"2427","mssalvo",391,20
"2428","will123195",19,70
"2429","newdigate",30,38
"2430","anilanar",12,122
"2431","gpatient",2,11
"2432","hanse",55,53
"2433","HQarroum",80,48
"2434","technolau",106,7
"2435","dmtrs",49,81
"2436","Etiene",279,53
"2437","yyolk",90,425
"2438","WillBMease",4,20
"2439","imraaz-rally-njit-bot",60,0
"2440","requilence",28,21
"2441","roylee0704",96,121
"2442","gabrieleds",56,72
"2443","hasit",108,48
"2444","mhor",31,39
"2445","le4f",396,9
"2446","raaum",13,79
"2447","jarmitage",65,33
"2448","kyofight",6,6
"2449","esaiz",17,21
"2450","SufyanHaqqui",28,0
"2451","sbabybird",16,32
"2452","lukehorvat",29,50
"2453","ZECTBynmo",123,194
"2454","craftsmanBai",48,10
"2455","zackhaikal",149,125
"2456","L0rdH4x0r",3,3
"2457","zrcing",295,73
"2458","kapantzak",13,7
"2459","palerdot",101,97
"2460","pskordilakis",8,14
"2461","theerickramer",21,24
"2462","cloudyan",25,46
"2463","vilcuRob",2,9
"2464","themsamus",10,27
"2465","hugocarreira",69,61
"2466","charlyoleg",9,6
"2467","bcomnes",341,323
"2468","Whitevinyl",189,37
"2469","aykutture",19,0
"2470","qwertykeith",5,10
"2471","sgimeno",34,24
"2472","micahscopes",21,140
"2473","fmmrtns",26,21
"2474","nuria-fl",44,33
"2475","gtrias",58,84
"2476","JScheerleader",6,0
"2477","yuanzhaokang",37,33
"2478","orklann",18,147
"2479","JamesLinus",165,4108
"2480","Raist122",5,7
"2481","sinmx",128,4637
"2482","dfsupcom",517,0
"2483","blagoeres",16,5
"2484","marionebl",283,204
"2485","chpmnrssll",26,21
"2486","Lokua",22,43
"2487","i0nAy",23,9
"2488","giorgosavgeris",5,5
"2489","icefapper",2,10
"2490","FailorTwist",2,4
"2491","andreicimpoesu",2,2
"2492","kkogovsek",6,15
"2493","superfunc",79,55
"2494","houcy",36,1421
"2495","sumanmr9591",3,11
"2496","haamdyhagag",0,0
"2497","hangscer8",5,24
"2498","mohitrajvardhan17",20,123
"2499","webshell520",234,662
"2500","mallikarjunece",32,37
"2501","yaxu",332,72
"2502","Antwnis",68,18
"2503","Yan-1-20",36,101
"2504","rayyee",88,157
"2505","open-source-explorer",40,24
"2506","luizbills",59,108
"2507","medolino",1,2
"2508","jtescher",128,111
"2509","ddinch",7,2
"2510","crcastle",68,151
"2511","tacho",16,4
"2512","noahbenson",19,13
"2513","machida",166,146
"2514","JudeMurphy",4,9
"2515","iqbalhossen1993",22,1
"2516","youisbaby",11,56
"2517","martintali",2,18
"2518","KiliBroe",42,1
"2519","macdet",5,5
"2520","Charlie7",2,0
"2521","CEOofA",4,7
"2522","BuloZB",10,319
"2523","sbmelvin",12,31
"2524","rjpledgecents",3,0
"2525","peterpan21",5,9
"2526","Cerlson",13,4
"2527","Airah143",5,9
"2528","rawles",29,3
"2529","aamiralahazan",38,0
"2530","kabitacode",203,25
"2531","cujimmy",2,0
"2532","sfelde",39,17
"2533","alekam",10,59
"2534","Ashald",29,20
"2535","shofty",0,0
"2536","vaal-",15,12
"2537","CheViana",7,18
"2538","Ins1ne",5,16
"2539","uruz",32,55
"2540","kariavka",14,11
"2541","alexpaxton",17,2
"2542","regimantas",1,12
"2543","asgerlp",5,12
"2544","chernysh",25,14
"2545","OlyaSapel",2,0
"2546","Sheehave",0,0
"2547","YuliiaDrobot",0,1
"2548","Jynka2007",7,0
"2549","josh",2149,34
"2550","maccman",3548,216
"2551","ouvanous",9,9
"2552","andrewmaier",65,28
"2553","geraldalewis",21,6
"2554","irfn",79,73
"2555","Constellation",590,113
"2556","quackingduck",199,7
"2557","goatslacker",675,154
"2558","EmmanuelOga",132,65
"2559","tosh",183,57
"2560","devongovett",1088,148
"2561","fabiomcosta",421,109
"2562","eduardocereto",160,22
"2563","misfo",33,101
"2564","bryansum",41,45
"2565","myrne",17,48
"2566","fitzgen",781,246
"2567","paulyoung",218,147
"2568","twalve",123,29
"2569","StanAngeloff",64,64
"2570","meltingice",366,87
"2571","Takazudo",162,110
"2572","shariefsk",7,14
"2573","Yaffle",50,29
"2574","ChrisCinelli",24,139
"2575","airhorns",194,182
"2576","minhlong139",3,12
"2577","josher19",15,66
"2578","dignan",15,21
"2579","davidchambers",701,99
"2580","matthiasg",27,104
"2581","thedjpetersen",57,22
"2582","gragatrim",5,7
"2583","djwglpuppy",17,16
"2584","tricknotes",227,321
"2585","gdotdesign",109,74
"2586","learning",86,33
"2587","buunguyen",716,100
"2588","namuol",140,145
"2589","parkerl",17,79
"2590","jamesflorentino",108,71
"2591","cknadler",129,48
"2592","deepblue-phoenix",7,1
"2593","Arwid",44,49
"2594","codelahoma",16,61
"2595","esehara",131,112
"2596","meshachjackson",7,27
"2597","yuchi",134,129
"2598","walternelson",1,2
"2599","benekastah",29,92
"2600","maxtaco",354,65
"2601","vairav",8,16
"2602","samstewart",21,23
"2603","davidgtonge",41,68
"2604","bkochendorfer",32,64
"2605","innocodive",14,35
"2606","gabea",6,5
"2607","fwusher",0,2
"2608","jyyan",30,126
"2609","sniper-07",5,2
"2610","nicholasbarnaby",1,4
"2611","salmans",5,5
"2612","kyriakosbrastianos",20,68
"2613","gruntlr",0,2
"2614","Tassemble",3,23
"2615","robamaton",6,17
"2616","janoskk",2,21
"2617","solomon081",1,9
"2618","love-jam",4,47
"2619","thayour",1,1
"2620","ranbeioc",18,18
"2621","noprompt",140,58
"2622","aturgarg",0,19
"2623","jaekwon",231,98
"2624","yoyeung",21,73
"2625","ambar",63,47
"2626","bsusman",2,1
"2627","gkz",223,39
"2628","KWMalik",38,490
"2629","VoQn",140,19
"2630","mweitzel",43,86
"2631","byennen",52,115
"2632","Myuzu",10,7
"2633","vic",286,284
"2634","kossnocorp",250,111
"2635","apatil",49,92
"2636","jeffeisley",11,0
"2637","syoichi",165,35
"2638","Layzie",216,64
"2639","EzraM",3,5
"2640","AndersDJohnson",109,654
"2641","bugeats",10,20
"2642","CharlotteGore",54,76
"2643","donpark",148,88
"2644","donutcho",0,1
"2645","tlperkins",13,8
"2646","codedaiquiri",26,7
"2647","bpartridge",25,88
"2648","island205",1610,64
"2649","jiyinyiyong",2144,162
"2650","alexanderdickson",185,36
"2651","pdcprod",15,2
"2652","yuryshulaev",28,12
"2653","thomasf1",2,17
"2654","fpinzn",15,43
"2655","shmup",37,114
"2656","99plus2",30,315
"2657","rebcabin",139,221
"2658","maliqq",73,55
"2659","thyms",9,35
"2660","maysam",47,88
"2661","loayalalfy",3,1
"2662","pedrofuentes",20,18
"2663","xiaody",29,30
"2664","garapani",2,5
"2665","dobesv",18,129
"2666","devinrhode2",46,171
"2667","joshSzep",15,36
"2668","brettmhammond",6,9
"2669","jedahan",193,442
"2670","richardassar",49,24
"2671","chertov",5,41
"2672","ttilley",39,51
"2673","rboyd",53,86
"2674","andreypopp",681,393
"2675","tomByrer",37,363
"2676","summivox",112,71
"2677","groundwater",575,207
"2678","chiller",17,33
"2679","ghostbar",175,48
"2680","jesusprubio",131,28
"2681","a-sk",46,54
"2682","evanmoran",56,73
"2683","dannyko",11,11
"2684","mwmessin",9,26
"2685","magicshui",139,89
"2686","nosajio",18,39
"2687","rbecher",9,31
"2688","laychopy",34,58
"2689","KenanY",175,295
"2690","chocnut",49,21
"2691","uunbound",24,12
"2692","undoZen",219,210
"2693","yanneves",25,78
"2694","aisipos",34,65
"2695","quarterto",64,190
"2696","virtica",8,22
"2697","g0t4",456,137
"2698","rykann",5,11
"2699","skopp",84,839
"2700","clkao",507,262
"2701","ZhangHan",6,9
"2702","ymeine",17,33
"2703","aymanfarhat",163,21
"2704","jcarrharris",54,33
"2705","EverChan",8,7
"2706","jprichardson",778,169
"2707","i09158knct",17,31
"2708","Drasky-Vanderhoff",8,31
"2709","sebastianper",3,0
"2710","marctwa",1,0
"2711","dboz",3,19
"2712","mathiasbynens",6739,489
"2713","murraymel",0,51
"2714","ShikiOkasaka",30,0
"2715","ELLIOTTCABLE",337,171
"2716","eugeneiiim",81,51
"2717","davidbarton",20,19
"2718","es128",137,64
"2719","adams",152,53
"2720","gonzaloruizdevilla",93,58
"2721","jwalsh",85,386
"2722","wcummings",39,32
"2723","malkomalko",131,129
"2724","puffnfresh",950,239
"2725","archaeron",21,51
"2726","danielsimonjr",21,42
"2727","cloeft",11,7
"2728","smillaedler",15,397
"2729","glix",120,132
"2730","kurisuwhyte",27,10
"2731","mrjoelkemp",174,96
"2732","johan",173,192
"2733","leexiaosi",61,28
"2734","ajumell",10,47
"2735","tehfreak",13,23
"2736","zhouwubai",22,20
"2737","sseffa",112,27
"2738","shammellee",26,66
"2739","JeffRice",2,12
"2740","sasaplus1",55,34
"2741","jnordberg",435,138
"2742","MrBackKom",25,56
"2743","jgmize",215,133
"2744","forivall",69,250
"2745","danielhusar",40,89
"2746","pyrotechnick",102,0
"2747","azu",1017,902
"2748","mattfield",17,60
"2749","blogs-zz",2,0
"2750","josh-jacobson",7,16
"2751","jordandobson",91,74
"2752","robotlolita",1170,155
"2753","moxierecruiting",7,1
"2754","davearel",43,51
"2755","cabhishek",41,28
"2756","dynamicy",36,40
"2757","ryuone",35,54
"2758","zhaomiing",9,28
"2759","sbezludny",19,28
"2760","andywang-1987",6,4
"2761","samuelmatis",25,8
"2762","alsotang",4415,163
"2763","jeremyckahn",459,117
"2764","francisconelson",94,37
"2765","salboaie",38,12
"2766","joshspivey",18,31
"2767","xyzwt",10,0
"2768","akileez",20,48
"2769","pmgeronca",3,17
"2770","matchdav",30,96
"2771","mdaverde",20,6
"2772","shsteven",40,78
"2773","alexeyraspopov",174,145
"2774","anthonybrown",92,459
"2775","bluemsn",25,47
"2776","nanek",40,38
"2777","wenbing",75,46
"2778","hhua",46,81
"2779","joyrexus",61,83
"2780","rpominov",157,39
"2781","Starefossen",156,184
"2782","ivankravchenko",49,24
"2783","f",1820,210
"2784","xixixao",101,103
"2785","wangqianfront",23,119
"2786","kaime",16,12
"2787","enishant",13,81
"2788","bterlson",692,70
"2789","jerryvig",5,41
"2790","hbakhtiyor",26,68
"2791","ikarienator",63,54
"2792","euskode",27,11
"2793","alidd",3,10
"2794","alxfed",5,68
"2795","benjreinhart",45,34
"2796","tcmitche",9,26
"2797","luuvish",17,22
"2798","yijingbai",7,74
"2799","Thiggel",11,0
"2800","LewisJEllis",100,45
"2801","parveen-sharma",2,28
"2802","msridhar",83,40
"2803","PabloVallejo",71,77
"2804","lobocode",30,24
"2805","btmills",110,103
"2806","jepprandt",2,0
"2807","lgarron",157,177
"2808","drom",121,161
"2809","chihpenglee",0,34
"2810","patrickreynolds",61,51
"2811","benthemonkey",26,36
"2812","MarioVilas",405,27
"2813","Glavin001",372,437
"2814","rscnt",71,51
"2815","FarmanYu",31,40
"2816","Evgenus",19,57
"2817","aadamsx",23,256
"2818","emptist",26,92
"2819","sunshine623",1,3
"2820","layerssss",181,95
"2821","blucke",4,16
"2822","oceanTsai",10,27
"2823","lovlyFarhan",8,108
"2824","altitude",68,23
"2825","Rafael-BP",87,10
"2826","Nangal",34,1505
"2827","gabrielkamimura",23,15
"2828","webdynamik",8,5
"2829","lcat",29,47
"2830","dxu",66,85
"2831","iRouge",7,3
"2832","ghempton",141,81
"2833","vegetableman",34,111
"2834","harmchop",30,1
"2835","TomNeyland",27,68
"2836","suda",92,118
"2837","calmdev",34,1
"2838","yangchenyun",163,77
"2839","delonnewman",34,117
"2840","carlsmith",22,19
"2841","getadeo",28,32
"2842","albacoretuna",77,178
"2843","kittens",3449,139
"2844","elamurugan",15,18
"2845","dwelle",9,34
"2846","popomore",1081,238
"2847","shea256",350,175
"2848","douglarek",57,14
"2849","fingeronthebutton",35,14
"2850","kasajian",6,23
"2851","dasilvacontin",216,174
"2852","pthrasher",72,186
"2853","luoyjx",103,36
"2854","Xiphin",58,69
"2855","adambiggs",28,39
"2856","moimikey",103,157
"2857","Fresheyeball",89,142
"2858","ns11",9,19
"2859","langelee",48,1045
"2860","kaaninan",69,31
"2861","ajwhite",151,192
"2862","matthewbauer",92,316
"2863","ljharb",2478,211
"2864","footearth",84,23
"2865","akinhwan",195,70
"2866","joseluisq",83,289
"2867","hfpp2012",446,79
"2868","fredericksilva",140,918
"2869","pzz2011",64,251
"2870","aleclarson",73,600
"2871","husentelwala",8,9
"2872","Planeshifter",302,124
"2873","akakcolin",18,7
"2874","jackjm",20,9
"2875","kelvinlee",34,38
"2876","jawahar5",9,3
"2877","jasonLaster",201,172
"2878","jfacorro",55,86
"2879","btbytes",92,356
"2880","joejollands",17,8
"2881","singhdeepme",4,8
"2882","njdup",14,23
"2883","alfonsoperez",51,53
"2884","mariusschulz",313,33
"2885","zachlysobey",22,43
"2886","kapil345",1,10
"2887","Spencerkt",3,18
"2888","myd7349",67,33
"2889","lagden",67,321
"2890","Irandoust",5,0
"2891","parro-it",176,257
"2892","skepticfx",166,27
"2893","jkyin",58,62
"2894","stronglink",25,9
"2895","componentDidMount",20,66
"2896","1360136021",8,9
"2897","koringz",17,37
"2898","Joelfioti",19,0
"2899","dcamilleri",58,13
"2900","remoteportal",3,15
"2901","hawx1993",937,32
"2902","Yexan",15,10
"2903","mkwtys",23,40
"2904","wuxianliang",58,60
"2905","nmccready",123,115
"2906","noscripter",86,2916
"2907","ustun",607,110
"2908","dchrch",16,32
"2909","lihaha5036",4,5
"2910","ElenaS1981",2,75
"2911","flyoverGu",18,27
"2912","akm5784",17,1
"2913","gardneer",0,4
"2914","cc2e",1,1
"2915","vmlinz",85,313
"2916","alchu4n",53,394
"2917","guumaster",51,52
"2918","jskz",25,32
"2919","dlange666",0,0
